#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=Katzenloch
1-1	0-10	Katzenloch	*	

#Text=Die Straße ist für Radfahrer sehr gefährlich, da es insgesamt zu eng ist und die Autofahrer auch bei Gegenverkehr überholen.
2-1	13-16	Die	_	
2-2	17-23	Straße	_	
2-3	24-27	ist	_	
2-4	28-31	für	_	
2-5	32-41	Radfahrer	_	
2-6	42-46	sehr	_	
2-7	47-57	gefährlich	_	
2-8	57-58	,	_	
2-9	59-61	da	_	
2-10	62-64	es	_	
2-11	65-74	insgesamt	_	
2-12	75-77	zu	_	
2-13	78-81	eng	_	
2-14	82-85	ist	_	
2-15	86-89	und	_	
2-16	90-93	die	_	
2-17	94-104	Autofahrer	_	
2-18	105-109	auch	_	
2-19	110-113	bei	_	
2-20	114-126	Gegenverkehr	_	
2-21	127-136	überholen	_	
2-22	136-137	.	_	
