#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=Fahrradstraßen-Stückwerk
1-1	0-24	Fahrradstraßen-Stückwerk	*	

#Text=Die Clemensstraße ist in Teilen zur Fahrradstraße umgewidmet.
2-1	27-30	Die	*[4]	
2-2	31-44	Clemensstraße	*[4]	
2-3	45-48	ist	_	
2-4	49-51	in	_	
2-5	52-58	Teilen	_	
2-6	59-62	zur	_	
2-7	63-76	Fahrradstraße	_	
2-8	77-87	umgewidmet	_	
2-9	87-88	.	_	

#Text=Das macht aber nur Sinn, wenn angrenzende Straßen und die Kreuzungen ebenfalls Teil der Fahrradstraße werden: Büchelgarten, Grabenstraße...
3-1	89-92	Das	_	
3-2	93-98	macht	_	
3-3	99-103	aber	_	
3-4	104-107	nur	_	
3-5	108-112	Sinn	_	
3-6	112-113	,	_	
3-7	114-118	wenn	_	
3-8	119-130	angrenzende	_	
3-9	131-138	Straßen	_	
3-10	139-142	und	_	
3-11	143-146	die	_	
3-12	147-157	Kreuzungen	_	
3-13	158-167	ebenfalls	_	
3-14	168-172	Teil	_	
3-15	173-176	der	_	
3-16	177-190	Fahrradstraße	_	
3-17	191-197	werden	_	
3-18	197-198	:	_	
3-19	199-211	Büchelgarten	*[5]	
3-20	211-212	,	*[5]	
3-21	213-225	Grabenstraße	*[5]	
3-22	225-226	.	_	
3-23	226-227	.	_	
3-24	227-228	.	_	

#Text=Sonst nimmt kein Autofahrer die Änderung wahr/ernst.
4-1	229-234	Sonst	_	
4-2	235-240	nimmt	_	
4-3	241-245	kein	_	
4-4	246-256	Autofahrer	_	
4-5	257-260	die	_	
4-6	261-269	Änderung	_	
4-7	270-274	wahr	_	
4-8	274-275	/	_	
4-9	275-280	ernst	_	
4-10	280-281	.	_	
