#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=Quantiusstr. wieder frei geben für Radfahrer trotz Baustelle
1-1	0-11	Quantiusstr	*	
1-2	11-12	.	_	
1-3	13-19	wieder	_	
1-4	20-24	frei	_	
1-5	25-30	geben	_	
1-6	31-34	für	_	
1-7	35-44	Radfahrer	_	
1-8	45-50	trotz	_	
1-9	51-60	Baustelle	_	

#Text=Hier wurde aufgrund der Baustelle (Studentenwohnheim) hinterm Bahnhof kurzerhand die Zufahrt für Radfahrende gesperrt!
2-1	63-67	Hier	_	
2-2	68-73	wurde	_	
2-3	74-82	aufgrund	_	
2-4	83-86	der	_	
2-5	87-96	Baustelle	_	
2-6	97-98	(	_	
2-7	98-115	Studentenwohnheim	_	
2-8	115-116	)	_	
2-9	117-124	hinterm	_	
2-10	125-132	Bahnhof	_	
2-11	133-143	kurzerhand	_	
2-12	144-147	die	_	
2-13	148-155	Zufahrt	_	
2-14	156-159	für	_	
2-15	160-171	Radfahrende	_	
2-16	172-180	gesperrt	_	
2-17	180-181	!	_	

#Text=Zack, Bum!
3-1	182-186	Zack	_	
3-2	186-187	,	_	
3-3	188-191	Bum	_	
3-4	191-192	!	_	

#Text=Radfahrer können ja jetzt schieben oder einen Umweg/Bogen fahren.
4-1	193-202	Radfahrer	_	
4-2	203-209	können	_	
4-3	210-212	ja	_	
4-4	213-218	jetzt	_	
4-5	219-227	schieben	_	
4-6	228-232	oder	_	
4-7	233-238	einen	_	
4-8	239-244	Umweg	_	
4-9	244-245	/	_	
4-10	245-250	Bogen	_	
4-11	251-257	fahren	_	
4-12	257-258	.	_	

#Text=Das ist eine Frechheit und skandalös und führt dazu, dass sich niemand daran hält und wieder der Radfahrer der Dumme ist, der sich nicht an Verkehrsführungsvorschriften hält!
5-1	259-262	Das	_	
5-2	263-266	ist	_	
5-3	267-271	eine	_	
5-4	272-281	Frechheit	_	
5-5	282-285	und	_	
5-6	286-295	skandalös	_	
5-7	296-299	und	_	
5-8	300-305	führt	_	
5-9	306-310	dazu	_	
5-10	310-311	,	_	
5-11	312-316	dass	_	
5-12	317-321	sich	_	
5-13	322-329	niemand	_	
5-14	330-335	daran	_	
5-15	336-340	hält	_	
5-16	341-344	und	_	
5-17	345-351	wieder	_	
5-18	352-355	der	_	
5-19	356-365	Radfahrer	_	
5-20	366-369	der	_	
5-21	370-375	Dumme	_	
5-22	376-379	ist	_	
5-23	379-380	,	_	
5-24	381-384	der	_	
5-25	385-389	sich	_	
5-26	390-395	nicht	_	
5-27	396-398	an	_	
5-28	399-427	Verkehrsführungsvorschriften	_	
5-29	428-432	hält	_	
5-30	432-433	!	_	

#Text=Das diese Regelung aber eine Zumutung ist und wieder einmal zum Ausdruck bringt, wie desinteressiert die Stadt an einer vernünftigen und gleichberechtigten Verkehrsplanung unter Berücksichtigung aller Verkehrsteilnehmenden ist, zeigt sich hier erneut.
6-1	434-437	Das	_	
