#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=venloerstr. hoch gefährlich
1-1	0-10	venloerstr	*	
1-2	10-11	.	_	
1-3	12-16	hoch	_	
1-4	17-27	gefährlich	_	

#Text=Die Venloerstrasse sollte besser zur Einbahnstrasse für KFZ werden.
2-1	30-33	Die	*[8]	
2-2	34-48	Venloerstrasse	*[8]	
2-3	49-55	sollte	_	
2-4	56-62	besser	_	
2-5	63-66	zur	_	
2-6	67-81	Einbahnstrasse	_	
2-7	82-85	für	_	
2-8	86-89	KFZ	_	
2-9	90-96	werden	_	
2-10	96-97	.	_	

#Text=Dafür breitere und rotmakierte Radwege.
3-1	98-103	Dafür	_	
3-2	104-112	breitere	_	
3-3	113-116	und	_	
3-4	117-128	rotmakierte	_	
3-5	129-136	Radwege	_	
3-6	136-137	.	_	

#Text=Die Nutzung des radweges momentan ist durch rücksichtslose PKW Fahrer durch viele parkende Autos und vorallem durch falschparkende Autos auf dem Radfahrstreifen sehr gefährlich.
4-1	138-141	Die	_	
4-2	142-149	Nutzung	_	
4-3	150-153	des	_	
4-4	154-162	radweges	_	
4-5	163-171	momentan	_	
4-6	172-175	ist	_	
4-7	176-181	durch	_	
4-8	182-196	rücksichtslose	_	
4-9	197-200	PKW	_	
4-10	201-207	Fahrer	_	
4-11	208-213	durch	_	
4-12	214-219	viele	_	
4-13	220-228	parkende	_	
4-14	229-234	Autos	_	
4-15	235-238	und	_	
4-16	239-247	vorallem	_	
4-17	248-253	durch	_	
4-18	254-268	falschparkende	_	
4-19	269-274	Autos	_	
4-20	275-278	auf	_	
4-21	279-282	dem	_	
4-22	283-298	Radfahrstreifen	_	
4-23	299-303	sehr	_	
4-24	304-314	gefährlich	_	
4-25	314-315	.	_	

#Text=Vor allem für Kinder und Jugendliche.
5-1	316-319	Vor	_	
5-2	320-325	allem	_	
5-3	326-329	für	_	
5-4	330-336	Kinder	_	
5-5	337-340	und	_	
5-6	341-352	Jugendliche	_	
5-7	352-353	.	_	

#Text=Ausserdem wären fahrradstellflächen wie Parkbuchten gut.
6-1	354-363	Ausserdem	_	
6-2	364-369	wären	_	
6-3	370-389	fahrradstellflächen	_	
6-4	390-393	wie	_	
6-5	394-405	Parkbuchten	_	
6-6	406-409	gut	_	
6-7	409-410	.	_	

#Text=Damit man nicht noch zusätzlich durch an laternen und Schilder abgestellte Fahrräder behindert wird.
7-1	411-416	Damit	_	
7-2	417-420	man	_	
7-3	421-426	nicht	_	
7-4	427-431	noch	_	
7-5	432-442	zusätzlich	_	
7-6	443-448	durch	_	
7-7	449-451	an	_	
7-8	452-460	laternen	_	
7-9	461-464	und	_	
7-10	465-473	Schilder	_	
7-11	474-485	abgestellte	_	
7-12	486-495	Fahrräder	_	
7-13	496-505	behindert	_	
7-14	506-510	wird	_	
7-15	510-511	.	_	
