#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Location|




#Text=Öffnung der Einbahnstraße in Gegenrichtung
1-1	0-7	Öffnung	_	
1-2	8-11	der	_	
1-3	12-25	Einbahnstraße	_	
1-4	26-28	in	_	
1-5	29-42	Gegenrichtung	_	

#Text=BV 4 Beschluß 17.06.2013 - u.a. Herkulesstraße mit hoher Priorität.
2-1	45-47	BV	_	
2-2	48-49	4	_	
2-3	50-58	Beschluß	_	
2-4	59-69	17.06.2013	_	
2-5	70-71	-	_	
2-6	72-75	u.a	_	
2-7	75-76	.	_	
2-8	77-91	Herkulesstraße	*	
2-9	92-95	mit	_	
2-10	96-101	hoher	_	
2-11	102-111	Priorität	_	
2-12	111-112	.	_	

#Text=Gilt auch für Gutenbergstraße, Frohnhofstraße uvm.
3-1	113-117	Gilt	_	
3-2	118-122	auch	_	
3-3	123-126	für	_	
3-4	127-142	Gutenbergstraße	*[4]	
3-5	142-143	,	*[4]	
3-6	144-158	Frohnhofstraße	*[4]	
3-7	159-162	uvm	_	
3-8	162-163	.	_	
